"gc-1","gc-2","gc-3","gc-4","gc-5","gc-6","likelihood","chimera","dataset"
1,1,2,7,7,7,0.934075277239424,9698.90015483723,"Lmono-454-LGC-1"
1,1,2,7,7,8,0.93504747374007,6152.89370257073,"Lmono-454-LGC-1"
1,1,2,7,8,8,0.916695531147785,4218.32055098009,"Lmono-454-LGC-1"
1,1,2,8,8,8,0.91662006989272,3024.72047670373,"Lmono-454-LGC-1"
1,1,3,3,3,3,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,3,3,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,3,3,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,3,3,6,0.0154768795415778,7612.43805522974,"Lmono-454-LGC-1"
1,1,3,3,3,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,3,3,8,0.916264350840166,9048.60090737543,"Lmono-454-LGC-1"
1,1,3,3,4,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,3,4,5,0.0245799367740477,7845.83724906778,"Lmono-454-LGC-1"
1,1,3,3,4,6,0.0136606520204114,4146.89092885026,"Lmono-454-LGC-1"
1,1,3,3,4,7,0.916264350840166,9048.60090737543,"Lmono-454-LGC-1"
1,1,3,3,4,8,0.916135975887311,5502.59445510893,"Lmono-454-LGC-1"
1,1,3,3,5,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,3,5,6,0.0236064850215079,8186.33100683732,"Lmono-454-LGC-1"
1,1,3,3,5,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,3,5,8,0.999933893038648,8776.32062815981,"Lmono-454-LGC-1"
1,1,3,3,6,6,0.0227900883456795,4630.87466260002,"Lmono-454-LGC-1"
1,1,3,3,6,7,0.999933893038648,8776.32062815981,"Lmono-454-LGC-1"
1,1,3,3,6,8,0.999933893038648,5230.31417589331,"Lmono-454-LGC-1"
1,1,3,3,7,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,3,7,8,0.916992777827088,9279.5448518942,"Lmono-454-LGC-1"
1,1,3,3,8,8,0.917872289813408,5733.5383996277,"Lmono-454-LGC-1"
1,1,3,4,4,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,3,4,4,5,0.0254640867829273,4306.71197929688,"Lmono-454-LGC-1"
1,1,3,4,4,6,0.0171240686667824,2296.61418048275,"Lmono-454-LGC-1"
1,1,3,4,4,7,0.916135975887311,5502.59445510893,"Lmono-454-LGC-1"
1,1,3,4,4,8,0.917684335209865,3568.02130351826,"Lmono-454-LGC-1"
1,1,3,4,5,5,0.015476541992291,8043.12204843666,"Lmono-454-LGC-1"
1,1,3,4,5,6,0.0166448824694626,4569.6867694121,"Lmono-454-LGC-1"
1,1,3,4,5,7,0.999933893038648,8776.32062815981,"Lmono-454-LGC-1"
1,1,3,4,5,8,0.999933893038648,5230.31417589331,"Lmono-454-LGC-1"
1,1,3,4,6,6,0.0185024463912524,2657.626214964,"Lmono-454-LGC-1"
1,1,3,4,6,7,0.999933893038648,5230.31417589331,"Lmono-454-LGC-1"
1,1,3,4,6,8,0.999933893038648,3295.74102430265,"Lmono-454-LGC-1"
1,1,3,4,7,7,0.916992777827088,9279.5448518942,"Lmono-454-LGC-1"
1,1,3,4,7,8,0.917872289813408,5733.5383996277,"Lmono-454-LGC-1"
